"No.","Time","Source IP","Destination IP","Source Port","Destination Port","Protocol","ICMP type","Length","Flags"
"124","20.470154000","","","","","ICMPv6","","86",""
"125","20.470197000","","","","","ICMPv6","","86",""
"126","20.474287000","","","","","ICMPv6","","86",""
"127","20.474320000","","","","","ICMPv6","","86",""
"128","20.477363000","","","","","ICMPv6","","86",""
"129","20.477399000","","","","","ICMPv6","","86",""
"130","21.568275000","192.168.1.5","208.115.231.94","53461","443","TCP","","55","0x0010"
"131","21.684323000","208.115.231.94","192.168.1.5","443","53461","TCP","","54","0x0010"
"132","21.684392000","192.168.1.5","208.115.231.94","53461","443","TCP","","54","0x0010"
"133","21.718989000","208.115.231.94","192.168.1.5","443","53461","TCP","","66","0x0010"
"134","22.326521000","","","49415","443","TCP","","75","0x0010"
"135","22.334965000","","","443","49415","TCP","","86","0x0010"
"136","23.217777000","","","53464","443","TLSv1.2","","105","0x0018"
"137","23.225902000","","","443","53464","TCP","","74","0x0010"
"138","24.649635000","","","","","DNS","","90",""
"139","24.650160000","","","","","DNS","","90",""
"140","24.650574000","","","","","DNS","","90",""
"141","24.656867000","","","","","DNS","","166",""
"142","24.657282000","","","","","DNS","","122",""
"143","24.657282000","","","","","DNS","","146",""
"144","24.660099000","","","","","QUIC","","1292",""
"145","24.660243000","","","","","QUIC","","1292",""
"146","24.660529000","","","","","QUIC","","140",""
"147","24.660974000","","","","","QUIC","","325",""
"148","24.661248000","","","","","QUIC","","280",""
"149","24.661653000","","","","","QUIC","","281",""
"150","24.670070000","","","","","QUIC","","102",""
"151","24.670070000","","","","","QUIC","","1292",""
"152","24.693005000","","","","","QUIC","","1292",""
"153","24.700703000","","","","","QUIC","","1292",""
"154","24.724064000","","","","","QUIC","","1292",""
"155","24.729884000","","","","","QUIC","","1292",""
"156","24.729884000","","","","","QUIC","","373",""
"157","24.729884000","","","","","QUIC","","981",""
"158","24.730738000","","","","","QUIC","","100",""
"159","24.730738000","","","","","QUIC","","86",""
"160","24.731874000","","","","","QUIC","","1292",""
"161","24.731971000","","","","","QUIC","","93",""
"162","24.734251000","","","","","QUIC","","1292",""
"163","24.734251000","","","","","QUIC","","1292",""
"164","24.734251000","","","","","QUIC","","336",""
"165","24.734613000","","","","","QUIC","","84",""
"166","24.734613000","","","","","QUIC","","84",""
"167","24.735478000","","","","","QUIC","","180",""
"168","24.735560000","","","","","QUIC","","95",""
"169","24.735592000","","","","","QUIC","","95",""
"170","24.735617000","","","","","QUIC","","95",""
"171","24.737284000","","","","","QUIC","","570",""
